,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count,dayofweek,hour,month,year
0,1,0,0,1,9.84,14.395,81,0.0,16,5,0,1,2011
1,1,0,0,1,9.02,13.635,80,0.0,40,5,1,1,2011
2,1,0,0,1,9.02,13.635,80,0.0,32,5,2,1,2011
3,1,0,0,1,9.84,14.395,75,0.0,13,5,3,1,2011
4,1,0,0,1,9.84,14.395,75,0.0,1,5,4,1,2011
5,1,0,0,2,9.84,12.88,75,6.0032,1,5,5,1,2011
6,1,0,0,1,9.02,13.635,80,0.0,2,5,6,1,2011
7,1,0,0,1,8.2,12.88,86,0.0,3,5,7,1,2011
8,1,0,0,1,9.84,14.395,75,0.0,8,5,8,1,2011
9,1,0,0,1,13.12,17.425,76,0.0,14,5,9,1,2011
10,1,0,0,1,15.58,19.695,76,16.9979,36,5,10,1,2011
11,1,0,0,1,14.76,16.665,81,19.0012,56,5,11,1,2011
12,1,0,0,1,17.22,21.21,77,19.0012,84,5,12,1,2011
13,1,0,0,2,18.86,22.725,72,19.9995,94,5,13,1,2011
14,1,0,0,2,18.86,22.725,72,19.0012,106,5,14,1,2011
15,1,0,0,2,18.04,21.97,77,19.9995,110,5,15,1,2011
16,1,0,0,2,17.22,21.21,82,19.9995,93,5,16,1,2011
17,1,0,0,2,18.04,21.97,82,19.0012,67,5,17,1,2011
18,1,0,0,3,17.22,21.21,88,16.9979,35,5,18,1,2011
19,1,0,0,3,17.22,21.21,88,16.9979,37,5,19,1,2011
20,1,0,0,2,16.4,20.455,87,16.9979,36,5,20,1,2011
21,1,0,0,2,16.4,20.455,87,12.998,34,5,21,1,2011
22,1,0,0,2,16.4,20.455,94,15.0013,28,5,22,1,2011
23,1,0,0,2,18.86,22.725,88,19.9995,39,5,23,1,2011
24,1,0,0,2,18.86,22.725,88,19.9995,17,6,0,1,2011
25,1,0,0,2,18.04,21.97,94,16.9979,17,6,1,1,2011
26,1,0,0,2,17.22,21.21,100,19.0012,9,6,2,1,2011
27,1,0,0,2,18.86,22.725,94,12.998,6,6,3,1,2011
28,1,0,0,2,18.86,22.725,94,12.998,3,6,4,1,2011
29,1,0,0,3,17.22,21.21,77,19.9995,2,6,6,1,2011
30,1,0,0,2,16.4,20.455,76,12.998,1,6,7,1,2011
31,1,0,0,3,16.4,20.455,71,15.0013,8,6,8,1,2011
32,1,0,0,2,15.58,19.695,76,15.0013,20,6,9,1,2011
33,1,0,0,2,14.76,17.425,81,15.0013,53,6,10,1,2011
34,1,0,0,2,14.76,16.665,71,16.9979,70,6,11,1,2011
35,1,0,0,2,14.76,16.665,66,19.9995,93,6,12,1,2011
36,1,0,0,2,14.76,17.425,66,8.9981,75,6,13,1,2011
37,1,0,0,3,14.76,17.425,76,12.998,59,6,14,1,2011
38,1,0,0,3,13.94,16.665,81,11.0014,74,6,15,1,2011
39,1,0,0,3,13.94,16.665,71,11.0014,76,6,16,1,2011
40,1,0,0,1,13.94,16.665,57,12.998,65,6,17,1,2011
41,1,0,0,2,14.76,16.665,46,22.0028,53,6,18,1,2011
42,1,0,0,1,13.12,14.395,42,30.0026,30,6,19,1,2011
